Date,Price,High,Low,Close**,Volume,Market Cap
28-4-2013,135.3,135.98,132.1,134.21,-,"1,500,519,936"
29-4-2013,134.44,147.49,134,144.54,-,"1,491,160,064"
30-4-2013,144.0,146.93,134.05,139,-,"1,597,779,968"
1-5-2013,139.0,139.89,107.72,116.99,-,"1,542,819,968"
2-5-2013,116.38,125.6,92.28,105.21,-,"1,292,189,952"
3-5-2013,106.25,108.13,79.1,97.75,-,"1,180,070,016"
4-5-2013,98.1,115,92.5,112.5,-,"1,089,890,048"
5-5-2013,112.9,118.8,107.14,115.91,-,"1,254,759,936"
6-5-2013,115.98,124.66,106.64,112.3,-,"1,289,469,952"
7-5-2013,112.25,113.44,97.7,111.5,-,"1,248,470,016"
8-5-2013,109.6,115.78,109.6,113.57,-,"1,219,449,984"
9-5-2013,113.2,113.46,109.26,112.67,-,"1,259,980,032"
10-5-2013,112.8,122,111.55,117.2,-,"1,255,970,048"
11-5-2013,117.7,118.68,113.01,115.24,-,"1,311,049,984"
12-5-2013,115.64,117.45,113.43,115,-,"1,288,630,016"
13-5-2013,114.82,118.7,114.5,117.98,-,"1,279,980,032"
14-5-2013,117.98,119.8,110.25,111.5,-,"1,315,719,936"
15-5-2013,111.4,115.81,103.5,114.22,-,"1,242,759,936"
16-5-2013,114.22,118.76,112.2,118.76,-,"1,274,620,032"
17-5-2013,118.21,125.3,116.57,123.01,-,"1,319,590,016"
18-5-2013,123.5,125.25,122.3,123.5,-,"1,379,139,968"
19-5-2013,123.21,124.5,119.57,121.99,-,"1,376,370,048"
20-5-2013,122.5,123.62,120.12,122,-,"1,368,909,952"
21-5-2013,122.02,123,121.21,122.88,-,"1,363,939,968"
22-5-2013,122.89,124,122,123.89,-,"1,374,130,048"
23-5-2013,123.8,126.93,123.1,126.7,-,"1,384,780,032"
24-5-2013,126.3,133.85,125.72,133.2,-,"1,413,299,968"
25-5-2013,133.1,133.22,128.9,131.98,-,"1,489,949,952"
26-5-2013,131.99,136,130.62,133.48,-,"1,478,029,952"
